                User   Dropout    Non_Dropout            IPI
         235d0253215        15              2      -1.647059
         131D0389572         9              1      -3.600000
                  KY         1              2      -2.000000
            shihmayh        12             42      -2.185185
           ericgimmy        30             35      -2.000000
          cchs111146         1              4       1.200000
       coco520131456        24              0      -0.416667
          cchs112157         1              0      -4.000000
         shocratessu         1              0      -4.000000
          cchs111229         1              0      -4.000000
            PeterWei         1              0       0.000000
         104D0337955        10              0      -4.000000
          cchs311062        15              6      -1.714286
            ToastKuo         6              9      -2.133333
            wudafeng         7             14      -1.238095
                Chiu        16             18      -0.882353
          lihungte96         4              8       0.166667
               tiger         3             21      -1.333333
        peter2314888         3              0      -4.666667
       mustB00090030         0              1       2.000000
          kuomanchou         5             91      -3.812500
            D0487498         0              3      -0.666667
        applepin1983         2              2      -2.500000
         105D0338676        19              2      -2.952381
           jonesfish         1              0      -2.000000
        HsinJungTsai         2              0      -1.000000
          Wangfangli        18             12      -2.200000
           EvelynKao        16             61      -1.766234
                 Sun         1              5      -2.666667
            PaffyLee         3              0       0.666667
            D0168864        23             28      -0.941176
           carolchiu        29             21      -1.640000
     Yvonnetoljsxntl        10              1      -4.181818
             ttaa123         2             22      -2.833333
          cchs111186         1              2       2.000000
            farahhsu         0              1      -4.000000
          wigoodtime         0              1      -4.000000
                SASA         0             16      -2.250000
             OLD_YEH         1              0      -4.000000
                  DD         1              1      -4.000000
         Judykuo1010        13             28      -2.536585
        127D0310032a        30              0      -2.400000
             WanYing         1              4       2.000000
            nkhc1250        12             86      -2.897959
        ChengMinTsai         1              0      -4.000000
           mingwangx         1              0      -4.000000
        elvis5334192         0              3      -4.000000
              LCChen        21             99      -1.300000
         132D0456821         4              1      -2.000000
           jhanghank         1              4      -4.400000
         235D0288876         4              0      -5.000000
             dunying        14             30      -1.318182
              VeraWu         1              1      -2.000000
         105D0338588        22              1      -0.869565
           103522606         3              0      -4.666667
              jc6363         1              0      -4.000000
                 JSK         3              8       0.545455
         136D0371314         1              0       0.000000
         hsu41121ads        28             22      -0.760000
             JaneTan         2              0      -3.000000
         105d0379917         7              0      -4.000000
            fegchu27         6              1      -3.142857
                Eddy         3              1      -1.500000
           kissyou52         1              2       0.000000
          cchs112006         4             21      -1.360000
           knock0103         1              0       2.000000
          Dining0214         0              3       2.000000
            LeeChiou         2              1      -4.000000
            laicwben         0              1      -4.000000
             susinru         0             11      -1.818182
           brock0319         1              0       0.000000
           104552021        15             46      -0.852459
        jj0939587692         1             54      -4.000000
            jason829         2              0      -2.000000
            bh861032         2              0      -4.000000
            LuLugigi         9             14      -2.521739
        WenchingChen         0              1      -4.000000
          cchs312009         6             13      -4.105263
              qazwsx         5             17      -2.818182
          cchs311071        28             10      -1.947368
           AlinaHong         4              2      -4.000000
             anthony         1              0       2.000000
           qaz097090         4              5      -3.777778
        evelynchiang        11             30      -1.756098
           ShuaiYuan         5             17      -1.181818
            NguyenLe        20              3      -2.782609
             Kevin9K         1              1      -4.000000
               Pansy         0              1      -4.000000
            ericnian         3              6      -1.333333
            lukiayeh         4             35      -3.230769
           Icetw2011         1              4      -2.800000
              amysun        13             36      -1.632653
          cchs111120         1              1      -4.000000
        jeff123chen1         0              4      -4.000000
           Ethan0708         0              2      -4.000000
            D0377707        14              6      -0.300000
              kadswy         4              7      -1.454545
             skywang         0              2       1.000000
          cchs111161         1              1      -2.000000
           lomivicky         0              3      -2.000000
               Erica         9              2      -0.363636
                 hsu         1              1      -1.000000
            cxx4c7tn        14              1      -3.866667
           gowaveski        23             33      -0.821429
         a0982110030         3            111      -3.666667
         115D0392827         3              0      -3.333333
         136D0423679         1              3      -1.500000
            d0377975         0             22      -4.000000
           tksung007         1              0      -4.000000
              Murphy         9             67      -3.157895
          cchs311019         4             10       0.000000
                  MM         8             11      -1.052632
         rosachen216         1             12      -3.692308
       fairy19950413         0              7       0.285714
           party0924        17             23      -0.150000
        MichelleChao        12              5      -3.058824
      PatrickLai2c11        11              0      -2.000000
         133D0390069        12              1      -2.153846
         fcucslabche         6              0       1.000000
            nien-chi         2              0      -2.000000
           chungpoon        17              4      -0.857143
          N220731564        13             33      -1.130435
         133D0453739         6              0      -2.666667
          SophiaChen         4              7      -3.454545
         132D0353854         5              0      -4.400000
            wcsks333         2              1      -2.000000
        WilliamChang         4              1       0.400000
             wulifen         2              0       2.000000
            gingming         1              1      -2.000000
           PaigeTsay         3              2      -1.600000
       richardsung97         1              3       0.500000
      PatrickLee0916         0             20      -4.000000
          starlit728         1              0       2.000000
         118D0362594        15              0      -3.866667
           r04527037         0              3      -0.666667
              mustbe         1              0       2.000000
              hs6487         9             45      -2.555556
           john-wang         1              0       2.000000
        john87204231        16              2      -0.888889
        andy03163902         1              0      -4.000000
        Meng-YuCheng         1              0      -4.000000
           MengSyuan         1              2       0.000000
             FelixWu         1              0      -4.000000
          zoechen889         1             17      -2.444444
         107D0340980         2              4      -3.000000
          xxxzzz0724         1              0      -4.000000
         SherWei-Yun         1              0       2.000000
          asd9951060         0              3      -2.666667
          cchs111070         1              5      -0.666667
         sherry-yuan        55             57      -1.107143
         crucifixion         1              2      -2.000000
           103552003        39             43      -2.731707
            NacyChen        43             47      -2.222222
      Bo-Xiang-Tzeng         4             15       0.631579
            StoneCat         7              1      -2.000000
            D0280239         4              1       1.600000
         chenchiuhui         4              2      -2.000000
         107D0341050         3              2      -1.200000
         134D0356093         4              1      -1.200000
            SugarChu         1              0      -4.000000
        LIN-TING-JUN        11              1      -0.666667
             yhchouf         4              7      -3.636364
          eric981319         1              2      -2.666667
         135D0390659         1              0      -4.000000
            D0276526         6              2      -1.250000
            HenryHsu         0              1       2.000000
             u001624         6              3      -0.888889
          msepanda40         1              0      -4.000000
         111D0363504         1              0      -4.000000
      willy282358528         3              3      -0.333333
            SeanYang         2              1      -1.333333
            essc1432         8              3      -2.545455
             asiatlc         3              3      -1.000000
         ptgsh210608        20             14      -2.647059
                Rody         0              1       0.000000
        lin990801119         1              0      -4.000000
          carychuang         0              1      -4.000000
         130D0411883         1              3      -1.500000
              sylvia         1              2      -2.000000
                 AAA         3              1      -1.000000
           helen8332         1              2      -0.666667
               onezi         6             14      -0.800000
               YoMoo         1              1      -2.000000
          whuang5213         9              4      -4.923077
            JoyceLin         0              5      -2.000000
             tatatyc         4              2      -1.666667
             HsuanJu         3             23      -1.230769
           yoyo40204         8              3      -0.545455
         liaoshihkai        10              7      -1.294118
           AndyTseng         1              0       2.000000
        supreme21920         0              4       2.000000
            pon19201        19              8      -2.148148
        Wei-WeiChang         3             21      -2.750000
         120D0309379         5              0      -3.200000
        jieyu46010qq         1              1      -1.000000
         robinxl3196         1              0      -4.000000
         ChangVictor         1              0      -2.000000
         125D0349493         1              0      -4.000000
            wish7161         1              0      -4.000000
       determination        56             30      -2.209302
            BF102106         4              2      -1.000000
         Melody83618        14              4      -1.222222
         AnneLin9259         1              5      -1.333333
            EvaJiang         1              0       2.000000
            Catalina         6             41      -3.957447
              sappho         1              1      -4.000000
          kwojan2015         0             20      -4.000000
          perfumekao         1              2       2.000000
              cassey         1             15      -2.250000
             kuoamei         2             15      -3.294118
                S77S        21             14      -2.457143
        alisonyunyun        11             24      -0.114286
         mildred0113         7              4      -0.181818
