Clear_Concept	Rewatch	Checkback_Reference	Skipping	non_dropout	IPI
-157.9	-89.7	-15.81325	-12.535899	0	-8
-128.2	-100.4	-78.3	-122	0	-8
-64.9	-44	-19.8	-11.091752	0	0
-110.3	-96.4	-98.1	-168	0	0
-123.2	-76.8	-17.6	-25.5	0	-6
-83.3	-37.544071	-1.5	-4.210178	0	0
-88.60755	-40.22265	-9.245299	-15.6151	0	0
-118.4	-54.9	-1.391752	4.432993	0	-6
-102	-86	-90	-166	0	0
-102	-86	-90	-166	0	0
-74.1	-30.264298	-3.792893	4.885618	0	0
-77.367544	-45.067544	-59.7	-123.6	0	0
-91.7	-44.62265	1.954701	-22.133975	1	0
-92	-34.4453	-2.72265	-0.058549	0	0
-57	-26.9	-28	-87.3	1	0
-69.3	-35.685786	-52.3	-111.8	0	0
-62.252277	-33.752277	-14.621981	-16.452277	0	0
-82.6	-63.3	-16.017426	-14.643961	0	0
-37.083602	-8.825403	-4.283602	-5.741801	0	0
-74.36795	-67.2	-89.6	-170	0	8
-98.8	-72.178732	-41.051125	-63.180983	0	0
-45.7	-34.35	-5.75	-1.25	0	0
-141.1	-75.9	-10.905573	3.041641	0	-6
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-102	-86	-90	-166	0	0
-129.9	-75.8	-43.9	-56	0	-6
-102	-86	-90	-166	0	0
-1487.504488	-1228.309479	-1031.167671	-1679.970904	0	0
-999.579601	-870.4	-763.3	-1234	1	0
-68.181782	-54.699802	-51.718019	-134.345346	0	0
-193.7	-129.3	-82.28826	-162.075304	0	0
-304.722415	-293.1	-288.3	-481	0	0
-284.214398	-239.996082	-204.6	-378	1	0
-149.639714	-94.771914	-99.7	-189.5	0	0
-245.926759	-235.3	-240.9	-403	0	0
-694.622344	-582.033493	-497.3	-836.993349	1	0
-523.572644	-437.335109	-368.191889	-631.983777	1	0
-865.579855	-755.4	-670.2	-1084	1	0
-166.4385	-103.31925	-79.936822	-180.891214	1	0
-374.809027	-307.066101	-256.366101	-443	0	0
-774.252842	-642.670767	-553.094153	-915	0	0
-85.019804	-81	-99.1	-188	1	6
-138.3	-75.9	-29.267544	-87.2	0	-6
-120.2	-100.4	-96.1	-168	1	0
-120.769321	-85.59233	-100.9	-184.2	1	0
-23.105573	-24.505573	-15.752786	-73	1	0
-143.9	-80.5	-33.111652	-93.2	0	-6
-9.746447	-11.892893	-10.892893	-68.946447	1	0
-914.381665	-801.695528	-708.1	-1147	0	0
-378.853462	-330.5	-311.8	-516.2	1	0
-1251.993776	-1045	-880.893364	-1428.596682	1	0
-23.476393	-18.652786	-21.62918	-86.105573	1	0
-86.219804	-70.719804	-64.029986	-152.859972	0	6
-49.5	-18.011146	-27.7	-71.852786	0	0
-251.180094	-227.5	-231.6	-389	1	0
-117.052377	-101.34838	-121.6	-217.2	1	0
-96.809125	-87.068188	-108.3	-199.1	1	6
-67.4	-55	-22.796977	-75.295466	1	0
-102	-86	-90	-166	0	0
-102	-86	-90	-166	0	0
-68.3	-51.8	-23.7	-70.4	1	0
-132.7	-77.6	-45.692893	-45.292893	0	-6
-118.76605	-108.6	-121.9	-224	1	0
-102.007594	-94.8	-110.5	-206	1	0
-79.913465	-54.985577	-47.385577	-77.671155	1	0
-65.9	-59	-82.3	-158.2	0	8
-38.4	-51.3	-76	-143.7	1	0
-27.55051	-43.6	-79.6	-149	1	8
-17.911146	-47.6	-73.8	-142.4	0	0
-10.867949	-41.3	-70.2	-136.8	1	0
-120.2	-100.4	-96.1	-168	1	0
-18.251317	-6.802633	-15.2	-71.1	0	0
-49.55	-20.15	-35.2	-95.4	1	0
-83.8	-43.5	-15.092893	-3.432233	0	0
-128	-102	-98	-168	0	0
-51.753402	-50.335601	-30.006803	-46.178005	0	0
-48.75061	-40.062957	-20.531479	-31.531479	1	0
-83.3	-37.922036	-12.744071	-18.588142	0	0
-128	-102	-98	-168	0	0
-132.447382	-102.949127	-85.014631	-132.662013	0	-6
-48.378005	-33.706803	-29.778005	-41.342404	0	0
-141.1	-84.4	-51.798489	-51.796977	0	-8
-128.8	-68.8	-38.4	-88.9	0	-6
-75.2453	-55.42265	-11.96795	-12.8906	1	0
-239.487129	-192.717426	-157.243565	-247.448119	0	0
-69.8	-36	-14.02265	-68.02265	0	0
-128	-102	-98	-168	0	0
-85.8	-64.3	-60.7	-106.2	1	0
-75	-51.620395	-11.963158	-18.563158	0	0
-104.4	-46.9	-29.4	-86	0	-6
-146.7	-80.122036	-8.844071	-0.688142	0	-6
-151.7	-91	-32.1	-27.798174	0	-8
-27.574457	-20.957428	-1.165942	-3.582971	1	0
-92.3	-60.1	-8.741801	9.090994	0	0
-57.964298	-22.5	-12.5	-11.821489	0	0
-15.252921	-16.023506	-10.2	-15.770584	1	0
-67.4	-27.3	-17.6	-18.846447	0	0
-124	-59.183772	-7.6	-7.302633	0	-6
-41.578005	-38.071202	-20.542404	-36.520409	0	0
-23.827513	-35.147501	-21.242504	-31.285009	0	0
-128.2	-76.3	-64.1	-118.2	0	-6
-128.2	-100.4	-78.3	-122	0	-8
-107.8	-68	-38.746447	-95.246447	0	-6
-138.3	-75.9	-29.267544	-87.2	0	-6
-120.8	-101.1	-96.2	-168.2	1	0
-61.967949	-62.8	-83.9	-164	1	8
-12.558359	-49.9	-72.3	-142.2	1	0
-94.133333	-46.633333	-66.9	-139	0	0
-79.552786	-34.152786	0.841641	4.118034	0	0
-85.483602	-34.483602	-14.225403	-55.741801	1	0
-124.435294	-113.2	-125.7	-230	1	0
-80.7	-50	-40.12265	-54.52265	0	0
-116.022971	-60.105743	-29.511486	-86.902871	1	-6
-82.705573	-56.076393	-52.176393	-96.3	1	0
-102	-86	-90	-166	0	0
-73.652921	-71.8	-91.5	-176	1	8
-43.156832	-57.4	-91	-167	1	8
-80	-71.8	-93.4	-176	0	8
-96.295466	-90.2	-106.7	-200	1	6
-120.2	-100.4	-96.1	-168	1	0
-41.001115	-65.7	-89	-166.3	1	8
-122.1	-67.9	-39.1	-89.9	0	-6
-96.9	-84.4	-88.1	-166.2	0	6
-60.1	-77.8	-82.9	-141.5	1	2
-68.5	-63.6	-80.9	-158.4	1	8
-120.8	-101.1	-96.2	-168.2	1	0
-48.598489	-35.6	-25.2	-56.3	1	0
-63.4	-62.4	-85.7	-167	1	8
-37.8	-56.1	-76.8	-139.5	1	0
-71.192893	-65.4	-82.6	-161.2	1	8
-120.2	-100.4	-96.1	-168	1	0
-120.2	-100.4	-96.1	-168	1	0
-128	-102	-98	-168	0	0
-102	-86	-90	-166	1	0
-120.8	-101.1	-96.2	-168.2	1	0
-103.9	-50	-18.02265	-80.8	0	-6
-563.392024	-457.20669	-378.075729	-593.751458	0	0
-80	-71.8	-93.4	-176	0	8
-79.529612	-76.4	-95.3	-182	1	8
-68.5	-63.6	-80.9	-158.4	1	8
3.881139	-34.567544	-81.3	-157.2	1	8
-54.522902	-66.5	-98.6	-179	1	8
-119.226979	-92.379137	-52.058274	-71.343527	0	-8
-120.2	-100.4	-96.1	-168	1	0
-96.002276	-59.986039	-25.258118	-37.060394	1	0
-55.079821	-55.118929	-48.809464	-131	0	0
-17.911146	-47.5	-73.8	-142.3	1	0
-140.509972	-112.890443	-87.161357	-134.187257	0	-6
-120.2	-100.4	-96.1	-168	1	0
-130.5	-74	-29.083503	-87.2	1	-6
-135.5	-73.3	-20.1	-19.745299	0	-6
-34.185786	-45.5	-72.8	-138.5	1	0
-68.2	-67.2	-87.7	-170	1	8
-96.295466	-90.2	-106.7	-200	1	6
-40.787215	-77.5	-113.6	-205	1	8
21.814214	-28.1	-77.4	-151	1	6
-405.945193	-338.379402	-293.889701	-452.969103	0	0
-31.733967	-62.8	-96.5	-178	1	8
-96.295466	-90.2	-106.7	-200	1	6
-70.951715	-66	-45.266201	-67.266201	0	0
-68.2	-67.2	-87.7	-170	1	8
-102	-86	-90	-166	0	0
-14.766667	-63.1	-96.4	-181	1	8
-88.339713	-56.407943	-43.53177	-118.907943	0	0
-29.505573	-28.5	-14.276393	-30.105573	1	0
-90.780712	-85.6	-102.9	-194	1	6
-90.780712	-85.6	-102.9	-194	1	6
-113.22412	-104	-118.1	-218	1	0
-120.9	-75.1	-64.3	-118.7	1	-6
-120.2	-100.4	-96.1	-168	1	0
-80.522036	-27.344071	-0.266107	-13.822036	1	0
-77.6	-47.7	-26	-73.7	1	0
-128	-102	-98	-168	0	0
-81.5	-51.9	-34.7	-78.3	0	0
-132.7	-68.492893	-11.792893	-41.9	0	-6
-74.1	-32.245299	-26.6	-85.1	1	0
-48.9	-51.6	-58.2	-103.1	1	0
-120.2	-100.4	-96.1	-168	1	0
-143.9	-78.2	-7.291752	-9.158759	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-137.7	-81.3	-19.060399	-13.23775	0	-8
-141.1	-75.9	-5.044071	-11.644071	0	-6
-128	-102	-98	-168	0	0
-91.4	-55.8	-23.72265	-71.82265	1	0
-120.2	-100.4	-96.1	-168	1	0
-129.9	-102.1	-74.5	-74.5	1	-8
-10.011146	-42	-74.3	-142.2	0	0
-135.5	-73.6	-27.105573	-84.2	0	-6
-19.892443	-47.9	-79.5	-148.3	0	8
-135.5	-73.6	-18.945299	-53.82265	0	-6
-37.52265	-20.045299	-48.2	-97.3	0	0
-132.7	-71.3	-24.685786	-81.2	0	-6
-100.8	-65.7	-20.796977	-21.596977	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-51.6	-37.9	-9.746447	-15.40901	1	0
-128.2	-76.3	-64.1	-118.2	0	-6
-128	-102	-98	-168	0	0
-90.022036	-65.896047	-54.318083	-81.102272	1	0
-128.2	-76.3	-64.1	-118.2	0	-6
-128.2	-76.3	-64.1	-118.2	0	-6
-81.473599	-57.773599	-26.3	-34.773599	0	0
-112.9	-88.160954	-42.9	-51.765726	0	-8
-38.1	-19.80755	-2.845299	-25.3302	0	0
-104.4	-46.9	-29.4	-86	0	-6
-65.9	-59	-82.3	-158.2	0	8
-74.36795	-67.2	-89.6	-170	0	8
-74.36795	-67.2	-89.6	-170	0	8
-68.705573	-62.6	-85.8	-164	0	8
-102	-86	-90	-166	0	0
-91.231779	-81	-101	-188	0	6
-65.9	-59	-82.3	-158.2	0	8
-65.9	-59	-82.3	-158.2	0	8
-119.26006	-104	-120	-218	0	0
-68.705573	-62.6	-85.8	-164	0	8
-90.780712	-85.6	-102.9	-194	1	6
-85.019804	-81	-99.1	-188	1	6
-74.36795	-67.2	-89.6	-170	0	8
-128.2	-76.3	-64.1	-118.2	0	-6
-73.652921	-71.8	-91.5	-176	1	8
-102	-86	-90	-166	0	0
-158.054185	-140.8	-148.5	-266	1	0
-91.231779	-81	-101	-188	0	6
-91.231779	-81	-101	-188	0	6
-66.232233	-69.5	-89.6	-173	1	8
-136.096548	-93.782758	-64.041379	-123	0	-8
-71.981456	-75.7	-108.1	-191	0	8
-102	-86	-90	-166	0	0
-38	-14.575255	-25.6	-78.891752	1	0
-61.967949	-62.8	-83.9	-164	1	8
-57.909006	-31.941801	-0.792608	-13.483602	0	0
-68.5	-63.6	-80.9	-158.4	1	8
-28.867204	-39.083602	-2.283602	-5.067204	0	0
-37.8	-56.1	-76.8	-139.5	0	0
-108.8	-46.620395	-9.861184	-14.024342	0	-6
-115.2	-61.140374	-33.010561	-44.410561	0	-6
-24.13699	-31.051845	-50.025922	-100.2	0	0
-169.1	-98.9	-24.363564	-21.363167	0	-8
-37.820395	-25.742763	-20.640789	-29.820395	0	0
-97.441801	-41.183602	-6.025403	-10.450807	0	0
-148.726479	-121.28535	-88.150135	-136.456049	0	-6
-23.396977	-12.095466	9.904534	-3.095466	0	0
-110.5	-56.1	-26.598489	-25.643199	0	-6
-72	-27.7	-32.3	-84.4	0	0
